Title,Location,Company,Salary,Sponsored,Description
Data Analyst,"Gurgaon, Haryana",Zyla Health Private Limited,"₹5,00,000 - ₹10,00,000 a year",Organic,Compile and analyze data related to business issues.Own ongoing operational data analysis & reporting needs.Develop clear visualizations to convey complicated…
Data & Analytics Tech - EDM - Associate 2 - Bangalore,"Bengaluru, Karnataka",PwC,None,Organic,"Connecting to data sources, importing data and transforming data for Business Intelligence.Good understanding the star schema and data models in the existing…"
Data Scientist,"Bengaluru, Karnataka",Cumulations Technologies,None,Organic,Build models and analyze medical data collected from healthcare devices and apps.Expose this data to mobile and web apps to build feature set.
Data Scientist,India,TCG Digital,None,Organic,"Core responsibilities include leveraging data science to solve business cases, training other team members, and contributing to pre-sales through quick…"
Research Scientist Chemistry,"Udaipur, Rajasthan",PI Industries Ltd.,None,Organic,"Carrying out synthetic experiments safely, efficiently, capturing all the experimental procedures and data effectively.Industry to be Hired from."
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.IT Data & Analytics Developer - Indore, India."
Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",Organic,Querying historical high-frequency market data to identify price patterns.Hands-on experience with large scale data warehousing and analytics projects.
Data Lake Developer,"Bengaluru, Karnataka",Mylan,"₹15,00,000 - ₹23,00,000 a year",Organic,Create data tools / products for analytics and data scientist team members that assist them in building and innovative solutions that drive tangible business…
Data Engineer,"Bengaluru, Karnataka","Ultramatics, Inc.",None,Organic,Create the next generation data and analytics tools to power digital transformation for analytics and data scientist team members.Temporarily due to COVID-19.
Machine Learning Engineer (Contract),"Coimbatore, Tamil Nadu",Research Grid Ltd,"₹50,000 a month",Organic,Collaborate with a team of software engineers and data scientists.Plan and manage data projects.Ensure data quality and integrity.
Data Scientist - BluePlanet Enterprise,"Pune, Maharashtra",Ciena,None,Organic,"The right candidate will be an experimented data scientist with expertise in enterprise L2/L3 networks, and a track record of delivering data-driven products in…"
Data Analyst/Data Scientist in IIDS,"Hyderabad, Telangana",Indian School of Business,None,Organic,Strong communication skills and ability to present concepts and data effectively through offline and online modes of communication.
"Data Scientist, Analytics, BI Engineer","Hyderabad, Telangana",RAACOM Infosystems,None,Organic,"If you come from a strong data analytics / data science background with technical experience across data mining & filtration, statistical data modeling – this…"
Data Scientist 1,"Chennai, Tamil Nadu",PayPal,None,Organic,Risk management / big data manipulation experience is a plus.In order to fully capture all the events critical to detect fraud pressure and/or fraud-driven…
DATA SCIENTIST,"Bavdhan, Pune, Maharashtra",Alpha ICT LLP,None,Organic,"Identifying additional data to be collected and third-party data sources that will help the analysis.Experience using statistical computer languages (R, Python…"
Data Scientist,India,Agnik,None,Organic,AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation.Some Experience in Programming in C++/Java/Distributed…
Junior Data Analyst - 1-4 Years,"Bengaluru, Karnataka",Dropshop Network Pvt Ltd,"₹20,000 - ₹25,000 a month",Organic,"Collaborate with internal stakeholders to manage data logistics - including data transfers, understanding data structures, business rules, business processes,…"
Data Scientist,"Pune, Maharashtra",Entytle,None,Organic,"You will work with other data scientists, engineers and product management team members in developing insights and innovative data science models (e.g. AI, ML)…"
Machine Learning,"Mumbai, Maharashtra",Prisma Global Limited,"₹20,000 - ₹40,000 a month",Organic,"Experience in object detection and recognition• Experience in Python, OpenCV.Experience of tracking the object in live video• Experience in implementation of…"
Data Scientist,"Pune, Maharashtra",Evolent Health,None,Organic,"You’ll join a team of data scientists, analysts, and software engineers working to push the boundaries of data science in health care.It’s Time For A Change…."
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.IT Data & Analytics Developer - Indore, India."
Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",Organic,Querying historical high-frequency market data to identify price patterns.Hands-on experience with large scale data warehousing and analytics projects.
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.IT Data & Analytics Developer - Indore, India."
Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",Organic,Querying historical high-frequency market data to identify price patterns.Hands-on experience with large scale data warehousing and analytics projects.
Machine Learning Engineer (Contract),"Coimbatore, Tamil Nadu",Research Grid Ltd,"₹50,000 a month",Organic,Collaborate with a team of software engineers and data scientists.Plan and manage data projects.Ensure data quality and integrity.
Data Scientist,"Defence Colony, Delhi, Delhi",Mahajan Imaging,None,Organic,Responsible for driving Mahajan Imaging's new focus on medical informatics and data analytics:Preferably well aquainted with SQL based PACS and Hospital…
Evaluation and Data Analyst,"New Delhi, Delhi",Department of Land Resources,"₹40,000 a month",Organic,Experience of at least THREE year in evaluation and data analysis.Desirable Qualification: Experience of at least THREE year in evaluation and data analysis.
Data Scientist (1-3 yrs),"Noida, Uttar Pradesh",Valiance Solutions,None,Organic,"Drawing actionable recommendations from data for senior management.Data scientists who are good with knowledge of statistics & programming in R/Python,…"
Data Scientist,"Pune, Maharashtra",Eyeota,None,Organic,"Experience in time series data, data manipulation, analytics and visualization.Experience working with large-scale data.2+ years relevant working experience."
Senior Data Scientist,None,Microsan Consultancy Services,None,Organic,"Partner with data engineers on data quality assessment, data cleansing and data analytics efforts.Gather and analyze data, devise innovative data science…"
Mid-Level Data Scientist,"Bengaluru, Karnataka",StartUs Insights,None,Organic,— Understanding of data engineering and data pipelines.Are you passionate about data?— Experience in handling unstructured data.
Data Scientist,"Bengaluru, Karnataka",Magicbricks,None,Organic,"Identify third party data that can be used to enhance the information gained.Processing, cleansing, and verifying the integrity of data used for analysis."
Data Scientist,"New Delhi, Delhi",Fitfyles,None,Organic,"To perform data analyses on massive data sets, at scale.To manage the data demands of a company with a heart.If this sounds like you, please read on!"
Senior Data Scientist,"Hyderabad, Telangana",Novartis,None,Organic,20 petabytes of data across 30 data domain across the whole bio-pharma value chain waiting for you to unlock the next breakthrough in medicine.
Sr Data Scientist,"Bengaluru, Karnataka",JDA Software,None,Organic,"Understand basic data structure of python, write pythonic code.Profound understanding of basic DS and ML skills like outlier handling, data imputation, bias,…"
Data Lake Developer,"Bengaluru, Karnataka",Mylan,"₹15,00,000 - ₹23,00,000 a year",Organic,Create data tools / products for analytics and data scientist team members that assist them in building and innovative solutions that drive tangible business…
Data Engineer,"Bengaluru, Karnataka","Ultramatics, Inc.",None,Organic,Create the next generation data and analytics tools to power digital transformation for analytics and data scientist team members.Temporarily due to COVID-19.
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.IT Data & Analytics Developer - Indore, India."
Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",Organic,Querying historical high-frequency market data to identify price patterns.Hands-on experience with large scale data warehousing and analytics projects.
Machine Learning Engineer (Contract),"Coimbatore, Tamil Nadu",Research Grid Ltd,"₹50,000 a month",Organic,Collaborate with a team of software engineers and data scientists.Plan and manage data projects.Ensure data quality and integrity.
Data Scientist,"Chennai, Tamil Nadu",Menorah Personnel Management India Private,None,Organic,Hand-on R programming skills.Hand-on R programming skills.Should be comfortable with implementing advanced Machine Learning (ML) methods.
Decision Scientist,"Bengaluru, Karnataka",Inference Labs,None,Organic,Carry out exploratory data analysis and manage database for storing vision-based data.Inference labs is a full stack horizontal data analytics solution…
Machine Learning part time job/internship at Multiple locati...,"Chandigarh, Chandigarh",Revelin7 Technology Private Limited,"₹10,000 a month",Organic,We are a team of IITians passionate building multiple products for IT infrastructure.We are looking for candidates with entrepreneurial attitude who can stay…
Data Scientist Senior,"Bengaluru, Karnataka",EY,None,Organic,5 - 8 years of experience.Should have had hands on experience in ML/ Advanced Analytics.Hands on AI projects would be preferred.Expert in Python/R coding.
Data Scientist: Advanced Analytics,"Bengaluru, Karnataka",IBM,None,Organic,"2+ years of data engineering and data science experience.Implement quantum approaches, which includes data pre-/post-processing, running numerics and…"
Data Scientist,India,Emerging India Group,None,Organic,We are looking for a data scientist with an experience of 3+ years in deriving insights using analytical models handling vast amounts of data available across…
Data Analytics Internship,"Mumbai, Maharashtra",Connect And Heal,"₹18,000 - ₹21,000 a month",Organic,"Assisting the finance teams with data MIS requirements 3.Connect and Heal is an end to end healthcare provider that specializes in on-site medical services,…"
Data Analyst,"Bengaluru, Karnataka",HealthifyMe Wellness Private Limited,None,Organic,Work closely with the business stakeholders for enabling data-driven decision making.Should have an entrepreneurial mindset to be able to navigate between…
