Title,Location,Company,Salary,Sponsored,Description
Android Developer,"Bengaluru, Karnataka",Tailwebs Technology Pvt. Ltd.,"₹2,50,000 - ₹7,00,000 a year",Organic,"Design, develop, modify and implement mobile applications using Android.Collaborate with cross-functional teams to define, design, and ship new features."
Corporate Placement Fresher19-20 - Software Developer,"Pune, Maharashtra",ThinkQuotient Software Private Limited,"₹3,00,000 a year",Organic,Candidate should ready to work on any IT technologies.4.Job Location - As per requirement within India.Percentage criteria 50 and above.
IOS/Android/ Hybrid App Developer (Work From Home- All Over...,"New Delhi, Delhi",Auxesis Infotech Pvt Ltd,"₹25,000 - ₹70,000 a month",Organic,"# As our Mobile developer, you will have a full-stack understanding to Create front end components (iOS, Android, and React Native) for mobile software…"
SQL Developer,"Jaipur, Rajasthan",Precise Automation and Robotics,"₹25,000 - ₹35,000 a month",Organic,"The Ideal candidate will have an extensive enterprise background using MS SQL Server and be able to understand complex SQL design concepts, practices and…"
Drupal Developer(Only from IT background) (Jr/Sr.),"Ahmedabad, Gujarat",KrishaWeb Technologies Pvt Ltd,"₹15,000 - ₹45,000 a month",Organic,"Required Qualification: B.CA, M.CA, BE, B.TECH, M.SC.IT with working experience in IT
Having Knowledge about :
Drupal CMS including D7 & D8.
Theme integration, Custom module development,
e-commerce and multilingual platform.
Drush, Composer, Drupal console.
updating core and module with migrate data form 3rd party server.
Knowledge of PHP & Twig template.
Having experience with HTML/CSS/JavaScript/JQuery.
Write Good Quality Software that Complies With Drupal Coding Standards.
Code Versioning Tool GIT, SVN.
Pantheon and Acquia environment
FTP, SFTP, and SSH to upload and download files.
Understand the client’s business needs and develops a solution with necessary validations.
Maintain Existing Web Applications and Appropriate Documentation With Code.
Undertake Quality Assurance and Testing For Functionalities Developed.
English communication skill is required.
Drupal 8, Drupal 9, Web developer
Job Type: Full-time
Salary: ₹15,000.00 to ₹45,000.00 /month
Experience:
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Master's (Preferred)"
Exp App developer (Android),"Delhi, Delhi",Teleone Consumers Product Pvt. ltd,"₹17,500 - ₹35,000 a month",Organic,"We need App developer (Android)
Should have minimum 1-2 year of experience .
Must be comfortable using any digital art creation tools such as Photoshop, pixelmator, procreate or other commonly used tools, to create digital art .
Designing and developing App features from prototype to full implementation.
Will be creating artwork for a mobile App for Android.
Job Type: Full-time
Salary: ₹17,500.00 to ₹35,000.00 /month
Experience:
work: 3 years (Required)
total work: 4 years (Required)
Developer: 4 years (Required)
Java: 1 year (Preferred)
Education:
Bachelor's (Required)"
"IT Data & Analytics Developer (Indore, India Office)","Indore, Madhya Pradesh","BioUrja Trading, LLC",₹358 - ₹438 an hour,Organic,"IT Data & Analytics Developer - Indore, India
The Developer shall work with the analysts to develop and maintain automation tools primarily to facilitate analysis and data-flow. The activities shall cover a wide range. It shall involve extracting, transforming and loading the data from various vendors and resources to databases, maintaining consistency in data sources. The developer shall be part of the initial team and will have an opportunity to design system and schemas from scratch.
Essential Job Functions
Build and Optimize the MS SQL Server Database around 3TB of data.
Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.
Perform data integrity, quality and audit checks.
Prototype and build dashboards integrating multiple data sources.
Performance Tuning of the SQL Server databases and tables.
Write SQL queries and stored procedures to surface data to business owners and applications.
Create, publish and maintain ETL jobs.
Pushing timely data to Tableau Server and prepare Tableau Reports.
Data Mining techniques.
Other Skills & Abilities
Bachelors in Engineering or Technology at a reputed University.
4-6 years’ experience at a major software development company or Team.
Advanced knowledge & experience of programming in SQL Server - stored procedures, views and SSIS.
Knowledge of reporting tools - Tableau Server/ Tableau Desktop/ Power BI.
Entrepreneurial spirit and ability to get things done under pressure.
Desire to work in a team-oriented culture.
BioUrja Group is an EEO employer. All qualified candidates will receive consideration for all positions without regard to race, color, age, religion, sex (including pregnancy), sexual orientation, gender identity, national origin, veteran status, disability, genetic information, or any other characteristic protected by law.
BioUrja Group is not currently accepting unsolicited resumes from search firms for this position. Regardless of past practice, all resumes submitted by search firms to any employee at BioUrja Group via-email, the Internet or directly to hiring managers at BioUrja Group in any form without a valid written agreement in place for that specific position will be deemed the sole property of BioUrja Group. As a result, no fee will be paid in the event the candidate is hired by BioUrja Group.
Job Type: Full-time
Pay: ₹358.00 - ₹438.00 per hour
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Industry:
Information Design & Documentation"
"(Freshers) Software Developer & Tester From 2017,2018 and 20...","Coimbatore, Tamil Nadu",TrioTend Solutions,None,Organic,"Immediate openings for Freshers Software Developer and Tester From 2017 to 2019.
Qualification: BE, BTECH, BSC ,MSC, BCA, MCA, ME.
Passed out Year: 2017,2018 to 2019.
Current Location: Coimbatore
We are currently hiring freshers who want to build their career in the IT field.
If you looking for an Entry in IT Field or People who are working in Non-IT Field also can apply. We are hiring People for Software Developer and Tester.
Immediate joiners are prefered. Freshers and Non-IT experience candidate can apply for this job.
Any graduate who passed out from 2017 to 2019 can apply for this job.
Interested Candidates can Share Your Resume To My Id: narmatha[at]triotend[.]com.
HR Recruiter
Narmatha Ramani
6385279678
Job Types: Full-time, Fresher
Education:
Bachelor's (Preferred)"
Software Developer Trainee,"Madhapur, Hyderabad, Telangana",Signant Health,None,Organic,"Role Overview:
Position Overview:
The Software Developer I creates, enhances and maintains business applications to support Bracket’s business needs. Working under the direction of Technical Lead, Team Lead and/or Software Development Manager this position implements assigned coding modules, performs unit testing, and documents their work according to accepted quality principles and supports testing.
Key Accountabilities/Decision Making & Influence:
Essential Duties and Responsibilities:
Note: Other duties may be assigned.
Application Development
Develops and maintains application components.
Working with Business System Analysts (BSA) , gains an understanding of the business requirements for assigned tasks.
Working with Technical Lead, Team Lead and/or Software Development Manager gains an understanding of design patterns, principles and standards to be followed in implementing assigned tasks.
Understands and follows all coding standards.
Creates robust, well documented code
Creates database objects as required.
Completes unit testing and peer review documentation as required.
Working with development team, integrates implemented code and database objects into release application. Performs smoke testing for released application as required.
Supports all phases of testing by efficiently diagnosing and resolving defects.
Application Support
Efficiently and effectively diagnoses and resolves defects.
Identifies areas of the application impacted by the resolution and works with BSA and/or Software Test Engineer to define test cases required for the resolution.
Completes all required change control documentation including updates to design and other technical documents as required.
Deploys resolution to testing and production environment as required.
Quality System Responsibilities
Performs all work in accordance with documented Standard Operating Procedures (SOPs), Working Instructions.
Adheres to Good Clinical Practices (GCP), 21 CFR Part 11 and other regulatory requirements as required.
Knowledge, Skills & Attributes:
Skills & Competencies

Education
Bachelor’s Degree in Computer Science, Information Systems or related technical major.
Demonstrated experience will be considered in lieu of a Bachelors Degree.
Experience
Two to four years experience professionally developing software.
Experience with some or all of the following technologies:
Microsoft SQL Server 2008/2012, MySQL or other relational databases including stored procedures, views and triggers
Microsoft SQL Server Reporting Services or other reporting tool
Microsoft Visual Studio 2008/2012, VB.NET, C#, ASP.NET
Microsoft Visual Basic
C++
ASP, VBScript, Ruby on Rails, PHP, Java, IIS, HTML, JavaScript, AJAX, CSS, XML, XSLT
Web page design
Windows application design
Object Relational Mapping (OR/M), MVC, MEF, Unity Framework, and Dependency Injection (DI) is a plus
Team Foundation Server, Visual Source Safe, Subversion or other source control product
Experience estimating development and support tasks.
Familiarity with 21 CFR Part 11 or experience in a regulated environment desirable.

Competencies & Personal Attributes
Strong verbal and written communication skills.
Ability to complete high quality technical documentation.
Ability to quickly learn and apply new skills, procedures and approaches.
Ability to meet established timelines.
Ability to work in a fast paced environment.
Ability to multi-task and effectively handle changing priorities.
Ability to work in a team environment; establish and maintain effective work relationships with co-workers within and across functional areas.
Demonstrate extreme attention to detail and organization in all aspects of work."
Dot Net Developer,"Jaipur, Rajasthan",Codunite Private Limited,"₹10,000 - ₹16,000 a month",Organic,"We have an urgent opening for ASP.Net with c# Developers in our organisation.Position : Developer, Very good knowledge for development on ASP.NET * Strong understanding of Object Oriented Programming with knowledge in Database. Hands-on experience in C#, ASP.Net MVC, Web API, Entity framework, Exposure in JQuery, AJAX & JSON or any JavaScript Libraries /JQuery/Node.JS) and SQL Server Database.* Integration of the front-end and back-end aspects of web applications. Design of the overall architecture of web applications and internal API* Strong knowledge writing and optimizing SQL queries, stored procedures, database triggers and indexes. * Experience in any Software Industries.
Job Type: Full-time
Salary: ₹10,000.00 to ₹16,000.00 /month
Experience:
Sql Dba: 1 year (Required)
C#: 1 year (Required)
DOTNET: 1 year (Required)
HTML: 1 year (Required)
Education:
Secondary(10th Pass) (Required)
Work Remotely:
Yes"
